MFR URL,Ref URL 1,Ref URL 2,Ref URL 3,Ref URL 4,Ref URL 5,PART_NUMBER,Dept,Class,Fine,SKU - MY_PART_NUMBER,Mfg_Part_Num,Part_Desc,E1_Brand,Unilog_Brand,DIB_Brand,Part_Manuf,MANUFACTURER_NAME,BRAND_NAME,TRADE_NAME,MANUFACTURER_PART_NUMBER,ALTERNATE_PART_NUMBER,Classpath,MOBILE_DESC,INVOICE_DESC,SHORT_DESC,LONG_DESC1,RETAIL_DESC,MARKETING_DESCRIPTION,ITEM_FEATURES_1,ITEM_FEATURES_2,ITEM_FEATURES_3,ITEM_FEATURES_4,ITEM_FEATURES_5,ITEM_FEATURES_6,ITEM_FEATURES_7,ITEM_FEATURES_8,ITEM_FEATURES_9,ITEM_FEATURES_10,ITEM_FEATURES_11,ITEM_FEATURES_12,ITEM_FEATURES_13,ITEM_FEATURES_14,ITEM_FEATURES_15,ITEM_FEATURES_16,ITEM_FEATURES_17,ITEM_FEATURES_18,ITEM_FEATURES_19,ITEM_FEATURES_20,With,Standard/Approvals,Prop 65,Application,Includes,Product Name,ATTRIBUTE_LABEL 1,ATTRIBUTE_VALUE 1,ATTRIBUTE_UOM 1,ATTRIBUTE_LABEL 2,ATTRIBUTE_VALUE 2,ATTRIBUTE_UOM 2,ATTRIBUTE_LABEL 3,ATTRIBUTE_VALUE 3,ATTRIBUTE_UOM 3,ATTRIBUTE_LABEL 4,ATTRIBUTE_VALUE 4,ATTRIBUTE_UOM 4,ATTRIBUTE_LABEL 5,ATTRIBUTE_VALUE 5,ATTRIBUTE_UOM 5,ATTRIBUTE_LABEL 6,ATTRIBUTE_VALUE 6,ATTRIBUTE_UOM 6,ATTRIBUTE_LABEL 7,ATTRIBUTE_VALUE 7,ATTRIBUTE_UOM 7,ATTRIBUTE_LABEL 8,ATTRIBUTE_VALUE 8,ATTRIBUTE_UOM 8,ATTRIBUTE_LABEL 9,ATTRIBUTE_VALUE 9,ATTRIBUTE_UOM 9,ATTRIBUTE_LABEL 10,ATTRIBUTE_VALUE 10,ATTRIBUTE_UOM 10,ATTRIBUTE_LABEL 11,ATTRIBUTE_VALUE 11,ATTRIBUTE_UOM 11,ATTRIBUTE_LABEL 12,ATTRIBUTE_VALUE 12,ATTRIBUTE_UOM 12,ATTRIBUTE_LABEL 13,ATTRIBUTE_VALUE 13,ATTRIBUTE_UOM 13,ATTRIBUTE_LABEL 14,ATTRIBUTE_VALUE 14,ATTRIBUTE_UOM 14,ATTRIBUTE_LABEL 15,ATTRIBUTE_VALUE 15,ATTRIBUTE_UOM 15,ATTRIBUTE_LABEL 16,ATTRIBUTE_VALUE 16,ATTRIBUTE_UOM 16,ATTRIBUTE_LABEL 17,ATTRIBUTE_VALUE 17,ATTRIBUTE_UOM 17,ATTRIBUTE_LABEL 18,ATTRIBUTE_VALUE 18,ATTRIBUTE_UOM 18,ATTRIBUTE_LABEL 19,ATTRIBUTE_VALUE 19,ATTRIBUTE_UOM 19,ATTRIBUTE_LABEL 20,ATTRIBUTE_VALUE 20,ATTRIBUTE_UOM 20,ATTRIBUTE_LABEL 21,ATTRIBUTE_VALUE 21,ATTRIBUTE_UOM 21,ATTRIBUTE_LABEL 22,ATTRIBUTE_VALUE 22,ATTRIBUTE_UOM 22,ATTRIBUTE_LABEL 23,ATTRIBUTE_VALUE 23,ATTRIBUTE_UOM 23,ATTRIBUTE_LABEL 24,ATTRIBUTE_VALUE 24,ATTRIBUTE_UOM 24,ATTRIBUTE_LABEL 25,ATTRIBUTE_VALUE 25,ATTRIBUTE_UOM 25,ATTRIBUTE_LABEL 26,ATTRIBUTE_VALUE 26,ATTRIBUTE_UOM 26,ATTRIBUTE_LABEL 27,ATTRIBUTE_VALUE 27,ATTRIBUTE_UOM 27,ATTRIBUTE_LABEL 28,ATTRIBUTE_VALUE 28,ATTRIBUTE_UOM 28,ATTRIBUTE_LABEL 29,ATTRIBUTE_VALUE 29,ATTRIBUTE_UOM 29,ATTRIBUTE_LABEL 30,ATTRIBUTE_VALUE 30,ATTRIBUTE_UOM 30,ATTRIBUTE_LABEL 31,ATTRIBUTE_VALUE 31,ATTRIBUTE_UOM 31,ATTRIBUTE_LABEL 32,ATTRIBUTE_VALUE 32,ATTRIBUTE_UOM 32,ATTRIBUTE_LABEL 33,ATTRIBUTE_VALUE 33,ATTRIBUTE_UOM 33,ATTRIBUTE_LABEL 34,ATTRIBUTE_VALUE 34,ATTRIBUTE_UOM 34,ATTRIBUTE_LABEL 35,ATTRIBUTE_VALUE 35,ATTRIBUTE_UOM 35,ATTRIBUTE_LABEL 36,ATTRIBUTE_VALUE 36,ATTRIBUTE_UOM 36,ATTRIBUTE_LABEL 37,ATTRIBUTE_VALUE 37,ATTRIBUTE_UOM 37,ATTRIBUTE_LABEL 38,ATTRIBUTE_VALUE 38,ATTRIBUTE_UOM 38,ATTRIBUTE_LABEL 39,ATTRIBUTE_VALUE 39,ATTRIBUTE_UOM 39,ATTRIBUTE_LABEL 40,ATTRIBUTE_VALUE 40,ATTRIBUTE_UOM 40,ATTRIBUTE_LABEL 41,ATTRIBUTE_VALUE 41,ATTRIBUTE_UOM 41,ATTRIBUTE_LABEL 42,ATTRIBUTE_VALUE 42,ATTRIBUTE_UOM 42,ATTRIBUTE_LABEL 43,ATTRIBUTE_VALUE 43,ATTRIBUTE_UOM 43,ATTRIBUTE_LABEL 44,ATTRIBUTE_VALUE 44,ATTRIBUTE_UOM 44,ATTRIBUTE_LABEL 45,ATTRIBUTE_VALUE 45,ATTRIBUTE_UOM 45,ATTRIBUTE_LABEL 46,ATTRIBUTE_VALUE 46,ATTRIBUTE_UOM 46,ATTRIBUTE_LABEL 47,ATTRIBUTE_VALUE 47,ATTRIBUTE_UOM 47,ATTRIBUTE_LABEL 48,ATTRIBUTE_VALUE 48,ATTRIBUTE_UOM 48,ATTRIBUTE_LABEL 49,ATTRIBUTE_VALUE 49,ATTRIBUTE_UOM 49,ATTRIBUTE_LABEL 50,ATTRIBUTE_VALUE 50,ATTRIBUTE_UOM 50,UPC,EAN,GTIN,UNSPSC,Warranty,List Price,Selling Qty,Selling UOM,Standard Packaging Information,LENGTH,LENGTH_UOM,HEIGHT,HEIGHT_UOM,WIDTH,WIDTH_UOM,WEIGHT,WEIGHT_UOM,VOLUME,VOLUME_UOM,Product Image,Alternate Image 1,Alternate Image 2,Alternate Image 3,Alternate Image 4,SDS,SDS_1,Warranty Information,Catalog,Specification Sheet,Instruction/Installation Manual,Service Manual,Owners/User Manual,Line Drawing,MTR,RoHS,Full Engineering Drawing,Energy Star Guide,Technical Bulletin,Submittal,Compatibility Chart,Size Chart,Product Label/Insert,Video Link,Video Link 1,Country Of Origin,Discontinued,Actual Image (Yes/No)
,,,,,,20000011,Tools & Hardware,Abrasives & Cutting Tools,Abrasive Sheets,1800011,9A-570-320,9A-570-320 Abranet 2.75x30,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Mirka Abrasives Inc (MIRUS),Mirka USA,Mirka®,,9A-570-320,,Tools & Hardware>Abrasives>Sanding Sheets,"Mirka USA, Abrasive Sheet, 9A-570-320, 9A-570-320 Abranet 2.75x30",MIRKA 9A-570-320 ABRANET 2.75X30,"Mirka®, 9A-570-320, Abrasive Sheet","Mirka® Abrasive Sheet, 2.75 in, 30 in","Abrasive Sheet, 9A-570-320 Abranet 2.75x30","Heavy-duty industrial abrasive sheet engineered for optimal reliability, precision performance, and high durability.",Premium grade abrasive sheet for industrial application,Standardized specification part number 9A-570-320,Manufactured by Mirka USA under Mirka® standards,2.75 in,30 in,,,,,,,,,,,,,,,,With Premium grade abrasive sheet for industrial application,,,,,Abrasive Sheet,Width,2.75,in,Length,30,in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,in,,,2.75,in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
,,,,,,20000012,Tools & Hardware,Abrasives & Cutting Tools,Cut-Off Discs,1800012,DBD090094101F,"DBD090094101F Diablo 9"" - Metal Cut-Off Disc",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Freud Inc (2435),Freud Inc,Diablo®,,DBD090094101F,,Tools & Hardware>Abrasives>Cut-Off Wheels,"Freud Inc Diablo®, Cut-Off Disc, DBD090094101F, DBD090094101F Diablo 9"" - Metal ",DBD090094101F 9 - METAL CUT-OFF DISC,"Diablo®, DBD090094101F, Cut-Off Disc","Diablo® Cut-Off Disc, 9 in, Material Application: Metal","Cut-Off Disc, DBD090094101F Diablo 9"" - Metal Cut-Off Disc","Heavy-duty industrial cut-off disc engineered for optimal reliability, precision performance, and high durability.",Premium grade cut-off disc for industrial application,Standardized specification part number DBD090094101F,Manufactured by Freud Inc under Diablo® standards,9 in,Material Application: Metal,,,,,,,,,,,,,,,,With Premium grade cut-off disc for industrial application,,,,,Cut-Off Disc,Diameter,9,in,Material Application,Metal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
,,,,,,20000013,Tools & Hardware,Abrasives & Cutting Tools,Cut-Off Discs,1800013,DBDS12125A01F,"DBDS12125A01F Diablo 12"" - Steel Demon Metal Cut-Off Disc",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Freud Inc (2435),Freud Inc,Diablo®,,DBDS12125A01F,,Tools & Hardware>Abrasives>Cut-Off Wheels,"Freud Inc Diablo®, Cut-Off Disc, Steel Demon, DBDS12125A01F, DBDS12125A01F Diabl",DBDS12125A01F 12 - STEEL DEMON METAL,"Diablo® Steel Demon, DBDS12125A01F, Cut-Off Disc","Diablo® Cut-Off Disc, Steel Demon, 12 in, Material Application: Metal",Steel Demon Cut-Off Disc,"Heavy-duty industrial cut-off disc engineered for optimal reliability, precision performance, and high durability.",Premium grade cut-off disc for industrial application,Standardized specification part number DBDS12125A01F,Manufactured by Freud Inc under Diablo® standards,12 in,Material Application: Metal,,,,,,,,,,,,,,,,With Premium grade cut-off disc for industrial application,,,,,Cut-Off Disc,Diameter,12,in,Material Application,Metal,,Series,Steel Demon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
,,,,,,20000014,Tools & Hardware,Abrasives & Cutting Tools,Cut-Off Discs,1800014,DBDS12125G01F,"DBDS12125G01F Diablo 12""x20mm - Speed Demon Metal Cut-Off Disc",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Freud Inc (2435),Freud Inc,Diablo®,,DBDS12125G01F,,Tools & Hardware>Abrasives>Cut-Off Wheels,"Freud Inc Diablo®, Cut-Off Disc, Speed Demon, DBDS12125G01F, DBDS12125G01F Diabl",DBDS12125G01F 12X20MM - SPEED DEMON,"Diablo® Speed Demon, DBDS12125G01F, Cut-Off Disc","Diablo® Cut-Off Disc, Speed Demon, 12 in, 20 mm, Material Application: Metal",Speed Demon Cut-Off Disc,"Heavy-duty industrial cut-off disc engineered for optimal reliability, precision performance, and high durability.",Premium grade cut-off disc for industrial application,Standardized specification part number DBDS12125G01F,Manufactured by Freud Inc under Diablo® standards,12 in,20 mm,Material Application: Metal,,,,,,,,,,,,,,,With Premium grade cut-off disc for industrial application,,,,,Cut-Off Disc,Diameter,12,in,Arbor Size,20,mm,Material Application,Metal,,Series,Speed Demon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
,,,,,,20000015,Tools & Hardware,Abrasives & Cutting Tools,Cut-Off Discs,1800015,DBDS14125A01F,"DBDS14125A01F Diablo 14""x1"" - Steel Demon Metal Cut-Off Disc",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Freud Inc (2435),Freud Inc,Diablo®,,DBDS14125A01F,,Tools & Hardware>Abrasives>Cut-Off Wheels,"Freud Inc Diablo®, Cut-Off Disc, Steel Demon, DBDS14125A01F, DBDS14125A01F Diabl",DBDS14125A01F 14X1 - STEEL DEMON METAL,"Diablo® Steel Demon, DBDS14125A01F, Cut-Off Disc","Diablo® Cut-Off Disc, Steel Demon, 14 in, 1 in, Material Application: Metal",Steel Demon Cut-Off Disc,"Heavy-duty industrial cut-off disc engineered for optimal reliability, precision performance, and high durability.",Premium grade cut-off disc for industrial application,Standardized specification part number DBDS14125A01F,Manufactured by Freud Inc under Diablo® standards,14 in,1 in,Material Application: Metal,,,,,,,,,,,,,,,With Premium grade cut-off disc for industrial application,,,,,Cut-Off Disc,Diameter,14,in,Arbor Size,1,in,Material Application,Metal,,Series,Steel Demon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
,,,,,,20000016,Tools & Hardware,Abrasives & Cutting Tools,Cut-Off Discs,1800016,DBDS14125G01F,"DBDS14125G01F Diablo 14""x20mm - Steel Demon Metal Cut-Off Disc",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Freud Inc (2435),Freud Inc,Diablo®,,DBDS14125G01F,,Tools & Hardware>Abrasives>Cut-Off Wheels,"Freud Inc Diablo®, Cut-Off Disc, Steel Demon, DBDS14125G01F, DBDS14125G01F Diabl",DBDS14125G01F 14X20MM - STEEL DEMON,"Diablo® Steel Demon, DBDS14125G01F, Cut-Off Disc","Diablo® Cut-Off Disc, Steel Demon, 14 in, 20 mm, Material Application: Metal",Steel Demon Cut-Off Disc,"Heavy-duty industrial cut-off disc engineered for optimal reliability, precision performance, and high durability.",Premium grade cut-off disc for industrial application,Standardized specification part number DBDS14125G01F,Manufactured by Freud Inc under Diablo® standards,14 in,20 mm,Material Application: Metal,,,,,,,,,,,,,,,With Premium grade cut-off disc for industrial application,,,,,Cut-Off Disc,Diameter,14,in,Arbor Size,20,mm,Material Application,Metal,,Series,Steel Demon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
,,,,,,20000017,Tools & Hardware,Abrasives & Cutting Tools,Cut-Off Discs,1800017,49-94-0013,"49-94-0013 Milw 5""x.045""x7/8"" Metal Cut Off Disc",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Milwaukee Accessory (4031),Milwaukee Tool,Milwaukee®,,49-94-0013,,Tools & Hardware>Abrasives>Cut-Off Wheels,"Milwaukee Tool, Cut-Off Disc, 49-94-0013, 49-94-0013 Milw 5""x.045""x7/8"" Metal Cu",MILWAUKEE 49-94-0013 5X.045X7/8 METAL,"Milwaukee®, 49-94-0013, Cut-Off Disc","Milwaukee® Cut-Off Disc, 5 in, .045 in, 7/8 in, Material Application: Metal","Cut-Off Disc, 49-94-0013 Milw 5""x.045""x7/8"" Metal Cut Off Disc","Heavy-duty industrial cut-off disc engineered for optimal reliability, precision performance, and high durability.",Premium grade cut-off disc for industrial application,Standardized specification part number 49-94-0013,Manufactured by Milwaukee Tool under Milwaukee® standards,5 in,.045 in,7/8 in,Material Application: Metal,,,,,,,,,,,,,,With Premium grade cut-off disc for industrial application,,,,,Cut-Off Disc,Diameter,5,in,Thickness,.045,in,Arbor Size,7/8,in,Material Application,Metal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.045,in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
,,,,,,20000018,Tools & Hardware,Abrasives & Cutting Tools,Cut-Off Discs,1800018,49-94-0029,"49-94-0029 Milw 6-1/2""x1/8""x5/8"" DKO Metal Cut Off Disc",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Milwaukee Accessory (4031),Milwaukee Tool,Milwaukee®,,49-94-0029,,Tools & Hardware>Abrasives>Cut-Off Wheels,"Milwaukee Tool, Cut-Off Disc, 49-94-0029, 49-94-0029 Milw 6-1/2""x1/8""x5/8"" DKO M",MILWAUKEE 49-94-0029 6-1/2X1/8X5/8 DKO,"Milwaukee®, 49-94-0029, Cut-Off Disc","Milwaukee® Cut-Off Disc, 6-1/2 in, 1/8 in, 5/8 in, Material Application: Metal","Cut-Off Disc, 49-94-0029 Milw 6-1/2""x1/8""x5/8"" DKO Metal Cut Off Disc","Heavy-duty industrial cut-off disc engineered for optimal reliability, precision performance, and high durability.",Premium grade cut-off disc for industrial application,Standardized specification part number 49-94-0029,Manufactured by Milwaukee Tool under Milwaukee® standards,6-1/2 in,1/8 in,5/8 in,Material Application: Metal,,,,,,,,,,,,,,With Premium grade cut-off disc for industrial application,,,,,Cut-Off Disc,Diameter,6-1/2,in,Thickness,1/8,in,Arbor Size,5/8,in,Material Application,Metal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/8,in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
,,,,,,20000019,Tools & Hardware,Abrasives & Cutting Tools,Cut-Off Discs,1800019,49-94-0033,"49-94-0033 Milw 7""x1/16""x7/8"" Metal Cut Off Disc",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Milwaukee Accessory (4031),Milwaukee Tool,Milwaukee®,,49-94-0033,,Tools & Hardware>Abrasives>Cut-Off Wheels,"Milwaukee Tool, Cut-Off Disc, 49-94-0033, 49-94-0033 Milw 7""x1/16""x7/8"" Metal Cu",MILWAUKEE 49-94-0033 7X1/16X7/8 METAL,"Milwaukee®, 49-94-0033, Cut-Off Disc","Milwaukee® Cut-Off Disc, 7 in, 1/16 in, 7/8 in, Material Application: Metal","Cut-Off Disc, 49-94-0033 Milw 7""x1/16""x7/8"" Metal Cut Off Disc","Heavy-duty industrial cut-off disc engineered for optimal reliability, precision performance, and high durability.",Premium grade cut-off disc for industrial application,Standardized specification part number 49-94-0033,Manufactured by Milwaukee Tool under Milwaukee® standards,7 in,1/16 in,7/8 in,Material Application: Metal,,,,,,,,,,,,,,With Premium grade cut-off disc for industrial application,,,,,Cut-Off Disc,Diameter,7,in,Thickness,1/16,in,Arbor Size,7/8,in,Material Application,Metal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/16,in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
,,,,,,20000020,Tools & Hardware,Abrasives & Cutting Tools,Cut-Off Discs,1800020,49-94-0001,"49-94-0001 Milw 4""x.040""x5/8"" Metal Cut Off Disc",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Milwaukee Accessory (4031),Milwaukee Tool,Milwaukee®,,49-94-0001,,Tools & Hardware>Abrasives>Cut-Off Wheels,"Milwaukee Tool, Cut-Off Disc, 49-94-0001, 49-94-0001 Milw 4""x.040""x5/8"" Metal Cu",MILWAUKEE 49-94-0001 4X.040X5/8 METAL,"Milwaukee®, 49-94-0001, Cut-Off Disc","Milwaukee® Cut-Off Disc, 4 in, .040 in, 5/8 in, Material Application: Metal","Cut-Off Disc, 49-94-0001 Milw 4""x.040""x5/8"" Metal Cut Off Disc","Heavy-duty industrial cut-off disc engineered for optimal reliability, precision performance, and high durability.",Premium grade cut-off disc for industrial application,Standardized specification part number 49-94-0001,Manufactured by Milwaukee Tool under Milwaukee® standards,4 in,.040 in,5/8 in,Material Application: Metal,,,,,,,,,,,,,,With Premium grade cut-off disc for industrial application,,,,,Cut-Off Disc,Diameter,4,in,Thickness,.040,in,Arbor Size,5/8,in,Material Application,Metal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.040,in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
,,,,,,20000021,Tools & Hardware,Abrasives & Cutting Tools,Cut-Off Discs,1800021,49-94-0039,"49-94-0039 Milw 7""x1/8""x5/8"" DKO Metal Cut Off Disc",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Milwaukee Accessory (4031),Milwaukee Tool,Milwaukee®,,49-94-0039,,Tools & Hardware>Abrasives>Cut-Off Wheels,"Milwaukee Tool, Cut-Off Disc, 49-94-0039, 49-94-0039 Milw 7""x1/8""x5/8"" DKO Metal",MILWAUKEE 49-94-0039 7X1/8X5/8 DKO,"Milwaukee®, 49-94-0039, Cut-Off Disc","Milwaukee® Cut-Off Disc, 7 in, 1/8 in, 5/8 in, Material Application: Metal","Cut-Off Disc, 49-94-0039 Milw 7""x1/8""x5/8"" DKO Metal Cut Off Disc","Heavy-duty industrial cut-off disc engineered for optimal reliability, precision performance, and high durability.",Premium grade cut-off disc for industrial application,Standardized specification part number 49-94-0039,Manufactured by Milwaukee Tool under Milwaukee® standards,7 in,1/8 in,5/8 in,Material Application: Metal,,,,,,,,,,,,,,With Premium grade cut-off disc for industrial application,,,,,Cut-Off Disc,Diameter,7,in,Thickness,1/8,in,Arbor Size,5/8,in,Material Application,Metal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/8,in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
,,,,,,20000022,Tools & Hardware,Abrasives & Cutting Tools,Cut-Off Discs,1800022,49-94-0043,"49-94-0043 Milw 9""x3/32""x7/8"" Metal Cut Off Disc",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Milwaukee Accessory (4031),Milwaukee Tool,Milwaukee®,,49-94-0043,,Tools & Hardware>Abrasives>Cut-Off Wheels,"Milwaukee Tool, Cut-Off Disc, 49-94-0043, 49-94-0043 Milw 9""x3/32""x7/8"" Metal Cu",MILWAUKEE 49-94-0043 9X3/32X7/8 METAL,"Milwaukee®, 49-94-0043, Cut-Off Disc","Milwaukee® Cut-Off Disc, 9 in, 3/32 in, 7/8 in, Material Application: Metal","Cut-Off Disc, 49-94-0043 Milw 9""x3/32""x7/8"" Metal Cut Off Disc","Heavy-duty industrial cut-off disc engineered for optimal reliability, precision performance, and high durability.",Premium grade cut-off disc for industrial application,Standardized specification part number 49-94-0043,Manufactured by Milwaukee Tool under Milwaukee® standards,9 in,3/32 in,7/8 in,Material Application: Metal,,,,,,,,,,,,,,With Premium grade cut-off disc for industrial application,,,,,Cut-Off Disc,Diameter,9,in,Thickness,3/32,in,Arbor Size,7/8,in,Material Application,Metal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3/32,in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
,,,,,,20000023,Tools & Hardware,Abrasives & Cutting Tools,Cut-Off Discs,1800023,49-94-0048,"49-94-0048 Milw 12""x7/64""x1"" Metal Cut Off Disc General Purpose",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Milwaukee Accessory (4031),Milwaukee Tool,Milwaukee®,,49-94-0048,,Tools & Hardware>Abrasives>Cut-Off Wheels,"Milwaukee Tool, Cut-Off Disc, 49-94-0048, 49-94-0048 Milw 12""x7/64""x1"" Metal Cut",MILWAUKEE 49-94-0048 12X7/64X1 METAL,"Milwaukee®, 49-94-0048, Cut-Off Disc","Milwaukee® Cut-Off Disc, 12 in, 7/64 in, 1 in, Material Application: Metal","Cut-Off Disc, 49-94-0048 Milw 12""x7/64""x1"" Metal Cut Off Disc General Purpose","Heavy-duty industrial cut-off disc engineered for optimal reliability, precision performance, and high durability.",Premium grade cut-off disc for industrial application,Standardized specification part number 49-94-0048,Manufactured by Milwaukee Tool under Milwaukee® standards,12 in,7/64 in,1 in,Material Application: Metal,,,,,,,,,,,,,,With Premium grade cut-off disc for industrial application,,,,,Cut-Off Disc,Diameter,12,in,Thickness,7/64,in,Arbor Size,1,in,Material Application,Metal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7/64,in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
